#VALUE!,අකුර ඇකඩමි,,,,,,,,,,,,
ඔබ විසින් සකස් කරන ප්‍රශ්න සහ උත්තර පහත පරිදි සම්පූර්ණ කොට එවීමට කාරුණික වන්න.,,,,,විෂය- සිංහල/ විද්‍යාව,,අංශය - උසස් පෙළ / සාමාන්‍ය පෙළ,,,නම - ඒ. කේ. කුමාර (ඔබේ නම),,දු.ක.අං - ,ඊමේලය - 
,,,,,,,,,,,,,
Question_ID,Question_Text,Option_1,Status_1,Option_2,Status_2,Option_3,Status_3,Option_4,Status_4,Option_5,Status_5,Correct_Option_Index,Correct_Description
Q000,ශ්‍රී ලංකාවේ පළමු වැනි රජතුමා කවුරුන්ද?,මුටසිව රජතුමා,Wrong,පණ්ඩුකාභය රජතුමා	,Wrong,විජය රජතුමා,Correct,කාවන්තිස්ස රජතුමා,Wrong,අසේල රජතුමා,Wrong,1,විජය රජු ක්‍රි.පූ. 6 වෙනි සියවසේ ලංකාවට පැමිණ වසර 38ක් රජ කළේය. මොහුගේ දෙමව්පියෝ සිංහබාහු සහ සිංහසීවලි වෙති. මුලදී කුවේණි ද පසුව විජයිනා ද බිසව කරගත්තේය. පණ්ඩුවාසදේව රජතුමා මොහුට පසුව රජ විය. 
Q001,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q002,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q003,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q004,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q005,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q006,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q007,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q008,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q009,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q010,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q011,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q012,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q013,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q014,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q015,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q016,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q017,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q018,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q019,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q020,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q021,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q022,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q023,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q024,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q025,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q026,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q027,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q028,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q029,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q030,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q031,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q032,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q033,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q034,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q035,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q036,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q037,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q038,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q039,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q040,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q041,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q042,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q043,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q044,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q045,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q046,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q047,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q048,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q049,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q050,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q051,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q052,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q053,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q054,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q055,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q056,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q057,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q058,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q059,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q060,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q061,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q062,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q063,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
Q064,,,Wrong,,Wrong,,Wrong,,Wrong,,Wrong,1,
